province,year,urban_rural_income_ratio,gdp_per_capita,urban_income,rural_income,urbanization_rate,tertiary_share,fiscal_expenditure_pc,fixed_investment_pc,retail_sales_pc,treated,post
山西,2017,2.212,4.08,3.63,1.64,58.6,53.4,0.618,2.39,1.71,0,0
山西,2018,2.171,4.45,3.89,1.79,60.4,52.9,0.649,2.54,1.68,0,0
山西,2019,2.098,5.0,3.65,1.74,60.9,53.7,0.745,2.74,2.08,0,0
山西,2020,2.005,5.14,3.97,1.98,62.6,53.9,0.812,3.13,2.1,0,0
山西,2021,1.984,5.54,4.17,2.1,63.6,54.8,0.798,3.48,2.32,0,1
山西,2022,1.967,5.85,4.56,2.32,65.1,55.8,0.879,3.53,2.49,0,1
山西,2023,1.894,5.93,4.67,2.47,66.0,54.7,0.89,3.38,2.52,0,1
山西,2024,1.85,6.28,4.78265350877193,2.6296982758620695,67.5,53.621684587813625,0.9011376564277589,3.2363739376770537,2.5503614457831323,0,1
广东,2010,2.498,4.01,1.92,0.77,61.7,51.6,0.598,2.46,1.75,0,0
广东,2011,2.444,4.35,2.19,0.9,63.6,51.2,0.682,2.84,1.66,0,0
广东,2012,2.406,4.9,2.53,1.05,65.2,52.4,0.634,3.18,2.01,0,0
广东,2013,2.369,5.13,2.85,1.2,65.9,53.0,0.748,2.82,2.01,0,0
广东,2014,2.276,5.6,2.93,1.29,67.2,52.9,0.905,3.65,2.15,0,0
广东,2015,2.258,5.93,3.16,1.4,67.6,53.7,0.876,3.54,2.46,0,0
广东,2016,2.192,6.44,3.56,1.62,69.6,53.8,0.923,3.63,2.82,0,0
广东,2017,2.148,7.13,3.5,1.63,70.3,54.7,1.054,3.71,2.79,0,0
广东,2018,2.065,7.58,3.77,1.83,72.1,55.1,1.301,4.18,3.21,0,0
广东,2019,2.13,8.07,3.88,1.82,73.2,56.0,1.124,5.21,3.43,0,0
广东,2020,2.059,8.76,4.3,2.09,74.1,56.7,1.242,5.19,3.3,0,0
广东,2021,1.954,9.57,4.03,2.06,75.4,57.4,1.381,5.85,3.97,0,1
广东,2022,1.923,9.67,4.41,2.29,76.6,58.0,1.462,5.3,4.02,0,1
广东,2023,1.818,10.18,4.45,2.45,77.9,57.9,1.578,6.45,4.18,0,1
广东,2024,2.32,10.85,4.490362811791383,2.621179039301311,78.8,57.8001724137931,1.703203830369357,7.849528301886793,4.34636815920398,0,1
广西,2010,2.674,2.04,2.07,0.77,42.0,45.6,0.282,1.2,0.8,0,0
广西,2011,2.561,2.09,2.69,1.05,43.3,45.2,0.34,1.47,0.86,0,0
广西,2012,2.598,2.23,2.52,0.97,44.4,46.0,0.336,1.33,0.87,0,0
广西,2013,2.525,2.41,2.69,1.06,45.9,45.9,0.364,1.52,0.86,0,0
广西,2014,2.441,2.67,3.26,1.34,47.2,47.0,0.43,1.43,1.13,0,0
广西,2015,2.379,2.92,3.3,1.39,48.1,48.1,0.414,1.87,1.12,0,0
广西,2016,2.372,3.13,3.72,1.57,49.0,47.5,0.453,1.95,1.26,0,0
广西,2017,2.313,3.35,3.91,1.69,50.5,48.5,0.499,2.05,1.35,0,0
广西,2018,2.271,3.61,3.92,1.73,51.4,48.6,0.562,2.19,1.63,0,0
广西,2019,2.172,3.97,4.06,1.87,53.0,49.5,0.55,2.22,1.53,0,0
广西,2020,2.083,4.03,4.25,2.04,54.2,49.0,0.618,2.25,1.47,0,0
广西,2021,2.095,4.54,3.81,1.82,55.8,50.6,0.678,2.81,1.71,0,1
广西,2022,2.04,4.72,4.8,2.35,56.7,51.3,0.626,2.86,1.75,0,1
广西,2023,1.961,4.85,4.44,2.26,57.5,51.3,0.733,2.64,1.8,0,1
广西,2024,1.92,5.12,4.107000000000001,2.1734468085106378,58.6,51.3,0.8582891373801917,2.436923076923077,1.8514285714285716,0,1
江苏,2010,2.203,5.71,1.96,0.89,61.4,46.9,0.872,3.88,2.06,0,0
江苏,2011,2.116,6.36,1.9,0.9,62.4,48.2,0.888,4.05,2.56,0,0
江苏,2012,2.113,6.85,2.23,1.05,63.6,48.7,0.976,3.43,2.59,0,0
江苏,2013,2.031,7.25,2.4,1.18,65.4,49.7,1.077,4.28,2.77,0,0
江苏,2014,2.017,7.78,2.54,1.26,66.2,50.6,1.21,4.64,3.25,0,0
江苏,2015,1.976,8.48,2.78,1.41,67.6,49.5,1.3,5.13,3.33,0,0
江苏,2016,1.934,9.05,2.84,1.47,68.1,49.3,1.389,4.6,3.53,0,0
江苏,2017,1.921,9.94,3.17,1.65,69.6,50.7,1.51,5.73,3.83,0,0
江苏,2018,1.904,10.8,3.41,1.79,71.4,51.7,1.718,6.0,3.87,0,0
江苏,2019,1.827,11.56,3.42,1.87,72.4,51.7,1.901,7.54,4.82,0,0
江苏,2020,1.785,12.47,3.64,2.04,72.8,52.8,1.914,7.41,5.22,0,0
江苏,2021,1.704,13.55,3.53,2.07,74.8,53.6,1.879,7.2,5.54,0,1
江苏,2022,1.726,13.7,4.22,2.44,75.6,52.7,2.062,7.83,5.49,0,1
江苏,2023,1.615,13.88,3.94,2.44,76.9,54.3,2.183,8.11,5.52,0,1
江苏,2024,2.04,14.68,3.6785781990521325,2.44,77.8,55.94857685009487,2.3111003879728416,8.400012771392081,5.5501639344262275,0,1
江西,2010,2.333,2.25,1.92,0.82,48.3,44.7,0.329,1.21,0.91,0,0
江西,2011,2.322,2.53,2.07,0.89,49.5,46.4,0.363,1.6,1.02,0,0
江西,2012,2.256,2.63,2.34,1.04,50.9,45.2,0.368,1.53,1.08,0,0
江西,2013,2.162,2.88,2.7,1.25,51.7,47.9,0.435,1.54,1.04,0,0
江西,2014,2.176,3.07,2.8,1.29,53.5,47.4,0.444,2.17,1.18,0,0
江西,2015,2.11,3.36,3.08,1.46,55.0,47.6,0.514,1.94,1.2,0,0
江西,2016,2.069,3.78,3.01,1.46,55.5,48.1,0.634,2.25,1.45,0,0
江西,2017,2.044,3.92,3.31,1.62,56.6,48.7,0.627,2.1,1.59,0,0
江西,2018,1.972,4.26,3.36,1.71,58.0,49.6,0.646,2.66,1.71,0,0
江西,2019,1.911,4.38,3.34,1.75,59.4,49.3,0.661,2.73,1.78,0,0
江西,2020,1.913,5.02,3.84,2.01,60.2,50.3,0.81,2.73,1.83,0,0
江西,2021,1.869,5.09,3.94,2.11,61.1,50.1,0.756,3.13,2.15,0,1
江西,2022,1.788,5.46,4.32,2.42,62.8,51.2,0.874,3.44,2.08,0,1
江西,2023,1.738,5.74,4.19,2.41,63.5,52.1,0.82,3.42,2.17,0,1
江西,2024,1.71,6.08,4.063912037037038,2.40004132231405,64.8,53.015820312500004,0.7693363844393593,3.4001162790697674,2.2638942307692305,0,1
河北,2010,2.404,2.24,1.95,0.81,48.1,47.1,0.348,1.42,0.91,0,0
河北,2011,2.355,2.4,2.07,0.88,49.1,46.4,0.383,1.6,0.97,0,0
河北,2012,2.288,2.6,2.38,1.04,50.8,47.6,0.364,1.69,1.07,0,0
河北,2013,2.234,2.85,2.67,1.2,51.4,49.2,0.41,1.53,1.1,0,0
河北,2014,2.144,2.98,2.63,1.23,53.2,47.9,0.464,1.89,1.17,0,0
河北,2015,2.173,3.28,3.04,1.4,54.0,48.5,0.485,1.96,1.35,0,0
河北,2016,2.087,3.61,3.22,1.54,54.8,50.0,0.489,2.09,1.49,0,0
河北,2017,2.064,3.88,3.55,1.72,56.5,49.8,0.574,2.17,1.51,0,0
河北,2018,2.006,4.16,3.51,1.75,57.3,50.5,0.588,2.76,1.54,0,0
河北,2019,1.919,4.43,3.92,2.04,59.1,51.6,0.614,3.0,1.85,0,0
河北,2020,1.899,4.89,3.79,2.0,60.1,51.2,0.688,2.7,2.13,0,0
河北,2021,1.863,4.86,3.85,2.07,60.9,52.1,0.739,3.09,2.01,0,1
河北,2022,1.741,5.23,3.67,2.11,62.7,51.8,0.77,3.32,2.21,0,1
河北,2023,1.799,5.53,4.37,2.43,62.9,53.8,0.846,3.69,2.16,0,1
河北,2024,1.72,5.85,5.203514986376022,2.7985308056872045,64.2,55.87722007722007,0.9295012987012987,4.101234939759037,2.1111312217194573,0,1
河南,2010,2.395,2.55,1.95,0.82,43.9,47.0,0.346,1.49,1.03,0,0
河南,2011,2.373,2.78,2.19,0.92,44.3,47.3,0.454,1.83,1.11,0,0
河南,2012,2.329,3.02,2.41,1.03,45.7,48.1,0.444,1.95,1.19,0,0
河南,2013,2.276,3.26,2.89,1.27,47.4,49.3,0.49,2.16,1.34,0,0
河南,2014,2.269,3.64,2.79,1.23,48.2,49.2,0.514,2.13,1.45,0,0
河南,2015,2.201,3.71,2.95,1.34,49.5,48.7,0.574,2.04,1.58,0,0
河南,2016,2.09,4.12,3.5,1.67,50.5,49.5,0.605,2.34,1.64,0,0
河南,2017,2.085,4.4,3.23,1.55,52.3,51.0,0.709,2.23,1.84,0,0
河南,2018,2.007,4.89,3.34,1.66,52.9,51.8,0.745,3.16,2.15,0,0
河南,2019,1.976,5.23,3.47,1.76,54.0,51.8,0.774,3.12,2.14,0,0
河南,2020,1.917,5.53,3.94,2.05,55.3,52.8,0.862,3.44,2.39,0,0
河南,2021,1.839,6.07,4.17,2.27,56.6,52.7,0.95,3.94,2.41,0,1
河南,2022,1.865,6.41,4.4,2.36,58.1,52.8,0.923,3.2,2.66,0,1
河南,2023,1.8,6.33,4.47,2.48,59.5,53.2,0.89,3.72,2.32,0,1
河南,2024,1.76,6.72,4.541113636363636,2.6061016949152545,60.8,53.603030303030316,0.8581798483206934,4.3245000000000005,2.023458646616541,0,1
浙江,2010,2.426,5.17,2.0,0.82,61.6,50.0,0.768,3.26,1.99,1,0
浙江,2011,2.374,5.92,2.26,0.95,62.3,50.2,0.878,3.52,2.42,1,0
浙江,2012,2.366,6.33,2.58,1.09,63.2,50.5,0.873,3.41,2.52,1,0
浙江,2013,2.129,6.85,2.45,1.15,64.0,51.2,0.967,3.82,2.91,1,0
浙江,2014,2.086,7.3,2.83,1.35,64.9,51.7,1.098,4.34,2.8,1,0
浙江,2015,2.069,7.76,3.14,1.52,65.8,52.0,1.218,3.95,3.18,1,0
浙江,2016,2.066,8.35,3.12,1.51,67.0,52.6,1.187,4.8,3.5,1,0
浙江,2017,2.054,9.21,3.27,1.59,68.0,52.7,1.306,5.16,3.53,1,0
浙江,2018,2.036,9.86,3.75,1.84,68.9,53.3,1.391,5.92,4.16,1,0
浙江,2019,1.963,10.76,3.88,1.98,70.0,53.6,1.669,6.04,4.19,1,0
浙江,2020,1.964,10.06,3.9,1.98,72.2,54.2,1.712,6.15,4.03,1,0
浙江,2021,1.94,11.39,3.86,1.99,72.7,54.4,1.814,7.14,4.52,1,1
浙江,2022,1.9,11.85,4.58,2.41,73.4,55.0,1.721,7.17,4.49,1,1
浙江,2023,1.86,12.45,4.15,2.23,74.2,55.7,1.906,7.31,4.79,1,1
浙江,2024,1.82,13.16,3.7603711790393017,2.0634439834024896,74.8,56.40890909090909,2.110886693782684,7.45273361227336,5.110044543429844,1,1
海南,2010,2.408,2.6,1.97,0.82,48.3,54.9,0.362,1.6,0.96,0,0
海南,2011,2.341,2.69,2.28,0.97,49.3,55.9,0.392,1.75,1.15,0,0
海南,2012,2.316,2.91,2.41,1.04,50.3,56.0,0.439,1.57,1.15,0,0
海南,2013,2.261,3.18,2.78,1.23,52.2,56.1,0.482,1.8,1.23,0,0
海南,2014,2.173,3.41,2.96,1.36,53.2,56.9,0.515,1.88,1.34,0,0
海南,2015,2.195,3.64,3.11,1.42,54.4,58.3,0.549,2.05,1.51,0,0
海南,2016,2.144,4.11,3.15,1.47,55.1,57.9,0.659,2.55,1.63,0,0
海南,2017,2.076,4.41,3.35,1.61,56.6,58.4,0.652,2.66,1.82,0,0
海南,2018,2.021,4.87,3.64,1.8,58.2,60.2,0.69,2.98,1.83,0,0
海南,2019,1.956,5.12,3.79,1.94,59.4,59.3,0.764,3.05,1.99,0,0
海南,2020,1.876,5.55,3.67,1.96,60.3,60.3,0.879,3.31,2.13,0,0
海南,2021,1.885,5.88,4.31,2.29,61.6,60.6,0.922,3.2,2.42,0,1
海南,2022,1.866,6.34,4.26,2.28,62.7,60.7,0.896,4.05,2.52,0,1
海南,2023,1.789,6.29,4.29,2.4,63.8,62.3,0.922,3.92,2.56,0,1
海南,2024,2.02,6.68,4.320211267605634,2.5263157894736845,64.8,63.94217462932454,0.9487544642857144,3.7941728395061727,2.6006349206349206,0,1
湖北,2010,2.387,2.94,1.97,0.82,51.0,46.2,0.421,1.65,1.25,0,0
湖北,2011,2.36,3.13,2.29,0.97,52.6,46.1,0.445,1.81,1.22,0,0
湖北,2012,2.31,3.51,2.34,1.01,53.4,47.8,0.488,1.92,1.36,0,0
湖北,2013,2.331,3.6,2.6,1.11,54.7,46.9,0.553,2.34,1.39,0,0
湖北,2014,2.218,4.04,2.68,1.21,55.9,48.3,0.578,2.25,1.67,0,0
湖北,2015,2.153,4.43,3.03,1.41,57.0,48.2,0.641,2.41,1.73,0,0
湖北,2016,2.178,4.73,3.26,1.5,58.3,48.2,0.678,2.62,1.98,0,0
湖北,2017,2.072,4.95,3.08,1.49,59.2,49.6,0.764,3.08,2.02,0,0
湖北,2018,2.017,5.4,3.57,1.77,60.9,49.7,0.783,3.3,2.03,0,0
湖北,2019,1.974,5.91,3.39,1.72,61.6,51.0,0.917,2.97,2.33,0,0
湖北,2020,1.944,6.5,3.63,1.87,63.7,50.0,0.948,4.09,2.55,0,0
湖北,2021,1.928,6.57,3.64,1.89,64.7,50.4,0.991,4.03,2.64,0,1
湖北,2022,1.88,7.07,3.87,2.06,65.9,51.1,1.049,4.67,2.83,0,1
湖北,2023,1.77,7.34,4.09,2.31,66.6,52.5,1.115,4.31,3.05,0,1
湖北,2024,1.73,7.82,4.32250645994832,2.5903398058252427,67.8,53.938356164383556,1.1851525262154432,3.9777516059957168,3.2871024734982326,0,1
湖南,2010,2.523,2.75,1.91,0.76,46.6,48.9,0.402,1.76,1.11,0,0
湖南,2011,2.42,2.9,2.14,0.89,47.9,48.0,0.471,1.93,1.11,0,0
湖南,2012,2.393,3.16,2.44,1.02,49.0,50.0,0.496,1.84,1.22,0,0
湖南,2013,2.365,3.31,2.75,1.16,50.6,49.7,0.495,1.65,1.33,0,0
湖南,2014,2.334,3.74,2.89,1.24,51.2,50.1,0.556,2.22,1.3,0,0
湖南,2015,2.235,4.04,3.15,1.41,52.8,50.4,0.601,2.43,1.55,0,0
湖南,2016,2.157,4.26,3.37,1.56,53.4,51.0,0.651,2.41,1.68,0,0
湖南,2017,2.129,4.71,3.51,1.65,55.3,52.2,0.717,3.11,1.91,0,0
湖南,2018,2.103,5.06,3.7,1.76,56.5,52.8,0.754,3.44,1.79,0,0
湖南,2019,1.991,5.27,3.44,1.73,57.6,53.2,0.916,3.26,2.17,0,0
湖南,2020,2.004,5.75,4.13,2.06,59.1,53.9,0.826,3.53,2.46,0,0
湖南,2021,1.901,6.2,4.38,2.3,59.6,54.2,0.984,3.96,2.68,0,1
湖南,2022,1.947,6.69,4.32,2.22,60.7,54.5,1.064,3.65,2.84,0,1
湖南,2023,1.825,6.84,4.75,2.6,62.7,55.4,1.053,4.25,2.85,0,1
湖南,2024,1.79,7.25,5.222800925925926,3.045045045045045,64.0,56.3148623853211,1.0421137218045111,4.948630136986301,2.860035211267606,0,1
甘肃,2010,3.221,1.68,2.58,0.8,40.0,49.6,0.227,1.01,0.65,0,0
甘肃,2011,3.159,1.78,3.02,0.95,41.6,51.0,0.251,1.03,0.74,0,0
甘肃,2012,3.085,1.98,3.12,1.01,42.1,50.8,0.311,1.23,0.79,0,0
甘肃,2013,3.024,2.09,3.49,1.15,43.8,51.5,0.314,1.36,0.88,0,0
甘肃,2014,2.932,2.35,4.04,1.38,45.4,52.8,0.348,1.35,0.98,0,0
甘肃,2015,2.882,2.4,4.0,1.39,46.1,52.5,0.35,1.44,1.01,0,0
甘肃,2016,2.842,2.49,4.26,1.5,47.5,53.7,0.405,1.62,1.07,0,0
甘肃,2017,2.76,2.83,4.65,1.68,48.6,53.8,0.466,1.68,1.18,0,0
甘肃,2018,2.76,3.07,4.86,1.76,49.5,53.4,0.493,1.94,1.22,0,0
甘肃,2019,2.677,3.34,4.95,1.85,51.3,54.7,0.501,2.15,1.4,0,0
甘肃,2020,2.605,3.54,5.46,2.1,52.6,55.6,0.518,1.98,1.51,0,0
甘肃,2021,2.512,3.77,5.13,2.04,53.6,56.0,0.55,2.37,1.52,0,1
甘肃,2022,2.474,3.97,5.75,2.32,55.0,55.6,0.595,2.17,1.53,0,1
甘肃,2023,2.417,4.13,6.22,2.57,55.7,57.0,0.619,2.79,1.72,0,1
甘肃,2024,2.36,4.38,6.7284173913043475,2.846939655172414,56.8,58.435251798561154,0.6439680672268908,3.5871428571428576,1.93359477124183,0,1
